species,phenotype_name,n_samples_total,n_samples_valid,n_markers,missing_rate,pheno_mean,pheno_std,pheno_min,pheno_max,pheno_median,pheno_skewness,pheno_kurtosis,geno_mean,geno_std,geno_missing_rate,geno_maf,geno_dtype,pheno_dtype,is_pheno_binary
Cattle,mkg,5024,5024,42551,0.0,-2.587579633930134e-09,0.9999004678058506,-3.383414,3.318611,0.009681,0.008657786186776322,-0.04585834410047873,1.0713618086920649,0.8048099006002398,0.0,-0.16216573270561652,int64,float64,False
Cattle,fpro,5024,5024,42551,0.0,1.5923566895349624e-09,0.9999004706441642,-3.568978,4.280901,-0.088036,0.33352967041060594,0.11941349662316325,1.0713618086920649,0.8048099006002398,0.0,-0.16216573270561652,int64,float64,False
Cattle,scs,5024,5024,42551,0.0,-1.4729299368298325e-08,0.9999005127363463,-4.461627,3.468616,0.057758,-0.2632931099957172,0.18315978870018235,1.0713618086920649,0.8048099006002398,0.0,-0.16216573270561652,int64,float64,False
Chicken,EW28,1063,1063,4293,0.0,57.19322671683913,3.4673197079395606,46.8,68.8,57.0,0.19831440943164888,-0.020108125955114353,1.309345827364725,0.7132388275257482,0.0,-0.3093458273647248,int64,float64,False
Chicken,EW36,1063,1063,4293,0.0,59.34637817497648,3.2831855266239494,54.0,69.7,59.0,0.5311599428664233,-0.3123187837859258,1.309345827364725,0.7132388275257482,0.0,-0.3093458273647248,int64,float64,False
Chickpea,Days_to_0.5_flowering,2921,2921,53193,0.0,66.92574919769942,16.207174605078052,14.4358367,114.3615187,65.79248047,0.15636780828975375,-0.18305625839350093,1.470792081747261,0.6092094047348665,0.0,-0.4707920817472611,int64,float64,False
Chickpea,Plant_height,2921,2917,53193,0.001369394043135963,48.498746042314025,9.912405010704738,26.33665948,83.87452278,47.79306557,0.418193668322274,-0.17954086873589858,1.470814170461378,0.6092178150647847,0.0,-0.4708141704613779,int64,float64,False
Chickpea,Hundred_seed_weight,2921,2918,53193,0.001027045532351889,19.095733518920152,9.653425569297916,0.44423263,67.02794504,16.53611503,1.0527335712915478,0.9223798183090648,1.4707812165166723,0.609198672696322,0.0,-0.4707812165166723,int64,float64,False
Cotton,FibLen_17_18,1245,1245,162,0.0,29.197670682730923,1.6499782753784424,22.5,35.0,29.0,0.3942644808083441,1.7054950003582992,1.6223417125291288,0.7518702811486911,0.0,-0.6223417125291288,float64,float64,False
Cotton,FibStr_17_18,1245,1245,162,0.0,28.91092369477912,1.812267752798171,23.4,37.5,28.6,0.9993111315593971,1.5626536851549684,1.6223417125291288,0.7518702811486911,0.0,-0.6223417125291288,float64,float64,False
