method,species,phenotype,description,all_time_s,corr_mean,corr_std,mae_mean,mae_std,mse_mean,mse_std,r2_mean,r2_std,cpu_mem_MB,gpu_mem_MB
rrBLUP,Cattle,scs,	Somatic cell score,2373.4649,0.7525,0.01936,0.5229,0.02173,0.4339,0.04136,0.5646,0.02846,12677.914,0
rrBLUP,Cattle,mkg,Milk yield,2647.1076,0.781,0.0157,0.4958,0.015,0.3891,0.02229,0.6081,0.02394,11942.3437,0
rrBLUP,Cattle,fpro,Fat percentage,2506.05328,0.8242,0.01093,0.4463,0.006204,0.3196,0.01067,0.6784,0.01854,11208.75,0
rrBLUP,Chicken,EW36,Egg Weight at 36 weeks,130.3162,0.3596,0.08891,2.4997,0.1557,9.4207,1.1613,0.1129,0.06563,9816.3242,0
rrBLUP,Chicken,EW28,Egg Weight at 28 weeks,123.05861,0.3414,0.08094,2.6228,0.2645,10.6825,2.0642,0.1022,0.0603,9599.957,0
rrBLUP,Chickpea,Plant_height,Plant Height,1315.2541,0.5857,0.03313,6.2206,0.3723,64.5081,7.1467,0.3417,0.03786,11270.007812,0
rrBLUP,Chickpea,Hundred_seed_weight,Hundred-Seed Weight,1338.04352,0.6301,0.02991,5.5314,0.2543,56.2847,5.449,0.393,0.03918,8977.2421,0
rrBLUP,Chickpea,Days_to_0.5_flowering,Days to 50% flowering,1125.9838,0.4971,0.04395,11.02521,0.5793,197.9681,19.09306,0.2439,0.04323,11685.5585,0
rrBLUP,Cotton,FibStr_17_18,Fiber Strength,71.6488,0.6112,0.09028,1.1214,0.04588,2.03305,0.2057,0.3587,0.1152,2177.2304,0
rrBLUP,Cotton,FibMic_17_18,Micronaire,73.9725,0.5118,0.07055,0.2281,0.01434,0.08555,0.00969,0.2561,0.0728,2585.5,0
rrBLUP,Cotton,FibLen_17_18,Fiber Length,72.691,0.5935,0.1142,1.01056,0.06438,1.7234,0.1554,0.3275,0.174,7070.2343,0
rrBLUP,Cotton,FibElo_17_18,Fiber Elongation,73.6357,0.4955,0.05218,0.643,0.0569,0.6868,0.1281,0.2416,0.05283,3840.3515,0
rrBLUP,Loblolly_Pine,stiffnessTree,Stiffness Tree,102.3005,0.2814,0.1142,0.8817,0.08027,1.3637,0.2652,0.0658,0.07743,6052.1953,0
rrBLUP,Loblolly_Pine,rootnumbin,Rootnum_bin,89.6328,0.1755,0.04863,0.2062,0.02326,0.06438,0.01433,0.01931,0.02091,5882.7734,0
rrBLUP,Loblolly_Pine,rootnum,Rootnum,97.7449,0.1507,0.0294,0.7442,0.08268,0.8998,0.177,0.01686,0.007564,5879.8242,0
rrBLUP,Loblolly_Pine,lignin,Lignin,94.07505,0.1496,0.1183,0.9022,0.03193,1.3988,0.07709,0.007008,0.02217,6051.5078,0
rrBLUP,Loblolly_Pine,lateWood%4,Late Wood %4,96.9075,0.1824,0.07029,1.1888,0.08114,2.3426,0.3089,0.02325,0.02927,6040.3164,0
rrBLUP,Loblolly_Pine,density,Density,94.9335,0.1751,0.06772,1.6869,0.1365,5.9893,1.1525,0.01016,0.02652,5993.2382,0
rrBLUP,Loblolly_Pine,c5c6,C5C6,89.857,0.1852,0.07842,1.9446,0.1485,6.6807,0.8117,0.02678,0.02245,5992.875,0
rrBLUP,Maize,PH,Plant Height,710.9152,0.6625,0.04889,12.1295,1.1039,244.2848,42.1629,0.4313,0.07234,13130.5312,0
rrBLUP,Maize,EW,Ear Weight,690.3217,0.5085,0.06549,11.5743,0.7015,219.3082,29.1059,0.2492,0.07174,10489.03906,0
rrBLUP,Maize,DTT,Days to tasseling ,673.6627,0.6516,0.05408,1.707,0.1051,4.7537,0.6251,0.4131,0.06943,12750.3945,0
rrBLUP,Millet,TSLW,Second Leaf Width,81.8851,0.4441,0.06933,0.24,0.03378,0.09358,0.0257,0.1824,0.06112,10810.1093,0
rrBLUP,Millet,TSLL,Second Leaf Length,80.3667,0.5106,0.08404,5.09007,0.4334,41.4124,6.2809,0.2574,0.08774,9142.6289,0
rrBLUP,Millet,SGN,Grain Number per Spike,76.5281,0.3935,0.1001,22.314,1.3632,798.6286,114.4384,0.1422,0.08358,8747.1171,0
rrBLUP,Millet,PGW,Per-Plant Grain Weight,81.5339,0.2968,0.1223,3.8519,0.417,24.18,5.1759,0.07719,0.06245,9106.5859,0
rrBLUP,Millet,MSW,Main Stem Diameter,81.7509,0.607,0.05593,1.2687,0.1355,2.6286,0.4899,0.3623,0.06771,10571.9414,0
rrBLUP,Millet,MSSN,Main Stem Spikelet Number,72.0772,0.3413,0.0726,12.4736,1.252,263.6521,58.009797,0.09702,0.05916,10532.457,0
rrBLUP,Millet,MSPW,Main Stem Panicle Weight,69.5405,0.3031,0.1278,4.521,0.5167,32.7342,7.2919,0.08036,0.0685,8515.9921,0
rrBLUP,Millet,MSPL,Main Stem Panicle Length,93.4222,0.5738,0.07766,3.3729,0.2836,18.3503,2.5565,0.3257,0.09103,8746.7304,0
rrBLUP,Millet,MSPD,Main Stem Panicle Diameter,82.3119,0.6452,0.05357,6.01996,0.5438,58.5924,11.4829,0.4107,0.07294,9698.8242,0
rrBLUP,Millet,MSH,Main Stem Height,84.5004,0.3142,0.08148,11.07505,0.6003,189.952,24.6844,0.08206,0.05985,9736.9101,0
rrBLUP,Millet,HKW,Hundred-Kernel Weight,80.3216,0.4365,0.1591,0.06838,0.05504,0.3576,0.7185,-0.255,0.198,9700.08203,0
rrBLUP,Millet,FNL,Flag Neck Length,78.9028,0.5502,0.129,3.7618,0.4866,33.7023,35.8409,0.2967,0.122,9819.02734,0
rrBLUP,Mouse,weight,Body Weight,293.8493,0.4483,0.02942,2.4578,0.1069,9.07865,0.7327,0.1974,0.02738,9416.8789,0
rrBLUP,Mouse,Obesity.BMI,Body Mass Index,286.02065,0.2479,0.06693,0.04569,0.002933,0.003334,0.000435,0.05275,0.03152,8944.8125,0
rrBLUP,Mouse,Anx,Anxiety-like Behavior,282.07026,0.4025,0.04822,0.3634,0.02091,0.2091,0.02365,0.1553,0.03642,10274.914,0
rrBLUP,Pig,bf,Backfat Thickness at 100 kg body weight,1470.8397,0.6874,0.02733,1.9782,0.09524,6.4664,0.575,0.4722,0.03772,12473.6953,0
rrBLUP,Pig,age,Age at 100 kg body weight,1430.5706,0.6897,0.01672,8.7738,0.3114,124.9316,7.2318,0.4733,0.02403,12474.4375,0
rrBLUP,Rapeseed,FloweringTime,Flowering Time,68.2711,0.8178,0.02787,4.1057,0.3604,37.8297,12.2934,0.6553,0.04429,5891.5625,0
rrBLUP,Rice,TGW_BLUP,Thousand-Grain Weight,51.9559,0.2618,0.1074,2.02044,0.1864,7.06384,1.5399,0.05243,0.05421,6998.3359,0
rrBLUP,Rice,PPNP_BLUP,Panicle Number per Plant,52.1121,0.4506,0.09764,0.7956,0.07239,1.04243,0.2196,0.182,0.08674,7134.1484,0
rrBLUP,Rice,PH_BLUP,Plant Height,57.9865,0.4193,0.05719,7.5712,0.9044,101.08074,29.8147,0.1473,0.04793,7134.1406,0
rrBLUP,Rice,HD_BLUP,Heading Date,54.0671,0.5447,0.09905,6.723,0.5902,72.1376,11.4659,0.2836,0.1153,7134.1484,0
rrBLUP,Rice,GYP_BLUP,Grain Yield per Plant,53.5231,0.3219,0.08375,1.9599,0.227,6.5979,1.7262,0.09382,0.05157,7134.164,0
rrBLUP,Rice,GW_BLUP,Grain Weight,54.5374,0.812,0.03567,0.1534,0.01918,0.03873,0.009069,0.6527,0.05711,6068.1523,0
rrBLUP,Rice,GL_BLUP,Grain Length,50.7157,0.8181,0.02205,0.472,0.02916,0.4021,0.04475,0.6597,0.03595,5891.5273,0
rrBLUP,Soybean,VBN_BLUP,,804.4491,0.6144,0.03004,0.4888,0.028,0.4309,0.04032,0.3728,0.03623,15001.625,0
rrBLUP,Soybean,PLH_BLUP,,697.8848,0.5801,0.03584,10.103,0.4633,182.5245,17.3374,0.3313,0.04055,15001.5937,0
rrBLUP,Soybean,BBD_BLUP,,652.1318,0.608,0.02888,5.151,0.2246,50.1755,4.09865,0.3623,0.03828,13025.4257,0
rrBLUP,Wheat,deregressed.blups,Deregressed BLUPs,5462.7238,0.4884,0.02996,361.5561,10.4887,216390.0,12665.8192,0.2376,0.02951,19125.332,0
rrBLUP,Wheat,blups,Best Linear Unbiased Predictors (BLUPs),5571.638,0.4888,0.02996,227.4933,6.7619,85689.9959,5176.1584,0.238,0.02951,19120.7109,0
rrBLUP,Wheat,Adj.Grain.Yield,Adjusted Grain Yield,5021.3472,0.4884,0.02996,361.5561,10.4887,216390.0,12665.8191,0.2376,0.02951,19127.1406,0
rrBLUP,Yeast,pheno.Magnesium_Sulfate,,412.6972,0.6201,0.0578,1.3396,0.09798,3.3979,0.5527,0.3663,0.0701,1483.789,0
rrBLUP,Yeast,Tunicamycin,Growth Response under Tunicamycin,423.6775,0.7819,0.04279,2.273,0.1884,8.43,1.6125,0.6038,0.06905,1505.6679,0
rrBLUP,Yeast,Cobalt_Chloride,Growth Response under Cobalt Chloride,448.6147,0.6829,0.07441,1.6364,0.1352,4.2218,0.7371,0.4551,0.1043,1447.2187,0
GBLUP,Cattle,scs,	Somatic cell score,1143.7326,0.7323,0.02106,0.5416,0.02122,0.4659,0.04086,0.5323,0.02789,18405.2812,0
GBLUP,Cattle,mkg,Milk yield,1193.1239,0.7674,0.01384,0.5123,0.01334,0.4133,0.01642,0.5837,0.01872,14965.2148,0
GBLUP,Cattle,fpro,Fat percentage,1143.05633,0.7907,0.01543,0.4881,0.008427,0.3849,0.0103,0.6128,0.0193,21000.4492,0
GBLUP,Chicken,EW36,Egg Weight at 36 weeks,24.6885,0.3156,0.07451,2.602,0.1662,10.3831,1.2446,0.02124,0.08646,1241.7539,0
GBLUP,Chicken,EW28,Egg Weight at 28 weeks,25.3156,0.3091,0.08134,2.7297,0.297,11.7516,2.3043,0.01116,0.0909,1195.7851,0
GBLUP,Chickpea,Plant_height,Plant Height,859.1628,0.5793,0.0361,6.2591,0.3847,65.3044,7.384,0.3334,0.04258,19338.9335,0
GBLUP,Chickpea,Hundred_seed_weight,Hundred-Seed Weight,882.404,0.6173,0.03083,5.626,0.2797,57.8536,5.5553,0.376,0.04186,19339.6757,0
GBLUP,Chickpea,Days_to_0.5_flowering,Days to 50% flowering,967.6037,0.4907,0.04333,11.1,0.559,199.8014,19.1844,0.2368,0.04349,18804.7265,0
GBLUP,Cotton,FibStr_17_18,Fiber Strength,5.3814,0.5821,0.1052,1.1459,0.06864,2.1783,0.2945,0.3079,0.1587,1190.3945,0
GBLUP,Cotton,FibMic_17_18,Micronaire,4.3475,0.4849,0.07148,0.2356,0.01421,0.09096,0.01005,0.207,0.09593,1190.4296,0
