method,species,phenotype,cv_splits,corr,cpu_mem_MB,final/all_time,final/corr_mean,final/corr_std,final/mae_mean,final/mae_std,final/mse_mean,final/mse_std,final/r2_mean,final/r2_std,fold,gpu_mem_MB,mae,mse,r2,time_sec
BayesC,Rice,GYP_BLUP,10,0.2081,1532.5507,19.2354,0.3067,0.07638,2.04103,0.2675,7.2557,2.1836,0.01001,0.1051,9,0,2.08526,6.3225,0.009612,1.6452
BayesB,Rice,GYP_BLUP,10,0.183,1501.1992,22.3288,0.3279,0.0777,1.9829,0.197,6.733,1.7043,0.06976,0.07718,9,0,2.1267,6.3802,0.000579,1.9267
BayesC,Rice,PPNP_BLUP,10,0.4631,1515.4218,59.4573,0.4317,0.106,0.8091,0.08464,1.09316,0.2621,0.1464,0.08748,9,0,0.8461,1.1901,0.1651,5.3878
BayesB,Rice,PPNP_BLUP,10,0.4374,1492.5039,29.1295,0.419,0.1085,0.8662,0.145,1.223,0.3881,0.04275,0.2271,9,0,0.876,1.225,0.1406,2.3422
BayesC,Rice,PH_BLUP,10,0.4697,1523.8125,26.4038,0.4124,0.04913,7.8275,1.05996,105.2205,29.3965,0.104,0.1438,9,0,6.7998,69.8471,0.195,1.7027
BayesB,Rice,PH_BLUP,10,0.4703,1492.4335,21.8966,0.4122,0.05658,7.8706,0.8511,106.9679,30.9861,0.09509,0.06894,9,0,7.587,85.04076,0.01996,2.3697
BayesC,Rice,HD_BLUP,10,0.3075,1472.2812,20.3343,0.5268,0.105,7.37,1.02183,85.9878,22.4689,0.1352,0.2759,9,0,9.07537,135.9085,-0.5567,1.6842
BayesC,Rice,TGW_BLUP,10,0.1514,1497.4726,19.1333,0.2516,0.1183,2.08679,0.1932,7.3988,1.6203,0.004568,0.08245,9,0,1.9311,7.3219,-0.03711,1.6749
BayesB,Rice,HD_BLUP,10,0.3626,1501.2265,44.2483,0.5229,0.0979,7.517,0.7117,87.9443,15.1098,0.1185,0.188,9,0,7.3958,88.5724,-0.01455,1.976
BayesA,Rice,GYP_BLUP,10,0.1735,1507.8359,23.4738,0.334,0.07824,1.9534,0.2221,6.5559,1.724,0.09974,0.05118,9,0,2.1038,6.416,-0.00504,1.9732
BayesC,Rice,GW_BLUP,10,0.7843,1496.7734,34.2743,0.8093,0.03508,0.1693,0.0218,0.04638,0.009956,0.5826,0.06696,9,0,0.1812,0.0498,0.6145,1.8228
BayesB,Rice,TGW_BLUP,10,0.1623,1500.4765,30.3211,0.2436,0.1096,2.1273,0.1646,7.6652,1.3994,-0.03659,0.06436,9,0,1.9299,7.2608,-0.02846,1.9884
BayesA,Rice,PPNP_BLUP,10,0.4702,1508.625,23.07649,0.4384,0.1038,0.8005,0.07315,1.05397,0.224,0.1725,0.08708,9,0,0.8283,1.1141,0.2184,1.8212
BayesC,Rice,GL_BLUP,10,0.792,1504.3281,31.01698,0.815,0.02451,0.532,0.08277,0.4966,0.14,0.5855,0.08379,9,0,0.5145,0.4804,0.5882,1.6384
BayesB,Rice,GW_BLUP,10,0.7811,1491.007812,27.8328,0.8052,0.03973,0.1721,0.02729,0.04786,0.01416,0.5707,0.09846,9,0,0.2173,0.06713,0.4804,1.7522
BayesA,Rice,PH_BLUP,10,0.4931,1473.6367,29.7616,0.4229,0.06155,7.5567,0.9182,100.7743,30.1987,0.1512,0.05436,9,0,6.5758,66.1896,0.2372,1.9177
BayesB,Rice,GL_BLUP,10,0.799,1447.1601,28.5715,0.812,0.02479,0.5176,0.04919,0.4681,0.07432,0.6042,0.06424,9,0,0.5315,0.5376,0.5392,2.5039
BayesA,Rice,HD_BLUP,10,0.3588,1482.2539,22.9367,0.5496,0.09869,6.7127,0.5739,71.588,11.8501,0.2893,0.1145,9,0,7.1363,80.7361,0.0752,1.7951
